epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,235.817,0.71078,0.67632,0.86811,0.8599,0.79099,0.84953,0.63289,0.92974,0.65839,0.96197,0.000178762,0.000178762,0.000178762
121,237.926,0.6941,0.66368,0.84486,0.93914,0.73357,0.84728,0.62661,0.9407,0.66886,0.96303,0.000173264,0.000173264,0.000173264
122,239.904,0.6718,0.64126,0.84606,0.87414,0.74149,0.82442,0.60886,0.94459,0.68346,0.96405,0.000167766,0.000167766,0.000167766
123,242.013,0.6918,0.65261,0.85799,0.91452,0.76345,0.84493,0.59764,0.9533,0.6987,0.96688,0.000162268,0.000162268,0.000162268
124,244.135,0.67608,0.64681,0.839,0.92494,0.76469,0.84043,0.5923,0.95445,0.69762,0.9717,0.000156771,0.000156771,0.000156771
125,246.2,0.66374,0.64901,0.84934,0.92201,0.76369,0.84375,0.59816,0.95089,0.69055,0.97401,0.000151273,0.000151273,0.000151273
126,249.459,0.70411,0.63818,0.84249,0.90268,0.8129,0.84564,0.60094,0.93643,0.68365,0.97145,0.000145775,0.000145775,0.000145775
127,253.485,0.70094,0.65974,0.85994,0.89495,0.81416,0.84433,0.59533,0.95164,0.68498,0.97865,0.000140277,0.000140277,0.000140277
128,257.444,0.69217,0.63565,0.85528,0.8978,0.81352,0.84413,0.60251,0.95225,0.67683,0.97968,0.000134779,0.000134779,0.000134779
129,261.603,0.69233,0.65453,0.85044,0.92495,0.80924,0.84855,0.60271,0.9451,0.6666,0.97571,0.000129282,0.000129282,0.000129282
130,265.57,0.66823,0.61991,0.84699,0.93397,0.8053,0.85846,0.61416,0.94114,0.65725,0.97319,0.000123784,0.000123784,0.000123784
131,269.54,0.64917,0.6326,0.82139,0.93309,0.80681,0.8688,0.61881,0.94509,0.64947,0.97685,0.000118286,0.000118286,0.000118286
132,273.682,0.64181,0.62993,0.83685,0.92599,0.81024,0.87211,0.61854,0.9444,0.64529,0.97594,0.000112788,0.000112788,0.000112788
133,277.476,0.66192,0.65702,0.84709,0.9235,0.8044,0.87058,0.61003,0.94641,0.64629,0.97544,0.00010729,0.00010729,0.00010729
134,281.484,0.67813,0.6186,0.83339,0.92167,0.7939,0.87232,0.61908,0.93983,0.64466,0.97065,0.000101793,0.000101793,0.000101793
135,285.795,0.65611,0.62371,0.8372,0.92345,0.78647,0.87389,0.61499,0.93569,0.64728,0.96728,9.62948e-05,9.62948e-05,9.62948e-05
136,289.814,0.64635,0.62931,0.83483,0.92261,0.78578,0.87441,0.61605,0.93269,0.65041,0.96714,9.0797e-05,9.0797e-05,9.0797e-05
137,293.793,0.68191,0.61691,0.83636,0.9233,0.7841,0.87475,0.62407,0.92855,0.65917,0.96764,8.52992e-05,8.52992e-05,8.52992e-05
138,297.539,0.62379,0.62597,0.82636,0.92381,0.78386,0.86636,0.61474,0.93132,0.65826,0.96877,7.98014e-05,7.98014e-05,7.98014e-05
139,301.334,0.63555,0.60443,0.83103,0.92827,0.78274,0.862,0.609,0.93638,0.66518,0.97101,7.43036e-05,7.43036e-05,7.43036e-05
140,305.328,0.62415,0.61005,0.84776,0.93195,0.78326,0.85495,0.60806,0.94216,0.67086,0.9757,6.88058e-05,6.88058e-05,6.88058e-05
141,317.215,0.63472,0.71641,0.83763,0.91496,0.78405,0.85148,0.60358,0.94676,0.68518,0.9804,6.3308e-05,6.3308e-05,6.3308e-05
142,321.241,0.65262,0.72187,0.8541,0.90093,0.7843,0.83111,0.58438,0.95589,0.6985,0.98975,5.78102e-05,5.78102e-05,5.78102e-05
143,325.318,0.65387,0.72747,0.85043,0.89654,0.7848,0.83413,0.59547,0.95659,0.68845,0.99188,5.23124e-05,5.23124e-05,5.23124e-05
144,329.054,0.62574,0.71894,0.83265,0.90183,0.78013,0.83724,0.60985,0.94446,0.68259,0.98804,4.68146e-05,4.68146e-05,4.68146e-05
145,332.942,0.64653,0.71209,0.85267,0.86237,0.78893,0.82188,0.6148,0.94108,0.67841,0.98789,4.13168e-05,4.13168e-05,4.13168e-05
146,336.618,0.60445,0.70849,0.81899,0.86286,0.78994,0.82225,0.61867,0.94055,0.67638,0.98569,3.5819e-05,3.5819e-05,3.5819e-05
147,340.499,0.6569,0.71943,0.85517,0.85825,0.79226,0.83188,0.61709,0.94404,0.67451,0.98601,3.03212e-05,3.03212e-05,3.03212e-05
148,344.587,0.60093,0.70048,0.83795,0.85876,0.79364,0.83558,0.62022,0.94996,0.68007,0.98764,2.48234e-05,2.48234e-05,2.48234e-05
149,348.312,0.59528,0.68256,0.85534,0.85973,0.79381,0.83703,0.62417,0.95493,0.68151,0.98779,1.93256e-05,1.93256e-05,1.93256e-05
150,352.072,0.63329,0.7284,0.84514,0.87744,0.81951,0.86322,0.62619,0.95738,0.68022,0.98807,1.38278e-05,1.38278e-05,1.38278e-05
